sample_size,group,%_MWS,%_PBS
25,1,89.93055556,10.06944444
25,2,90.27777778,9.722222222
25,3,86.11111111,13.88888889
25,4,89.58333333,10.41666667
25,5,87.84722222,12.15277778
25,6,89.23611111,10.76388889
25,7,93.40277778,6.597222222
25,8,90.625,9.375
25,9,89.58333333,10.41666667
25,10,92.01388889,7.986111111
50,1,86.80555556,13.19444444
50,2,87.5,12.5
50,3,81.25,18.75
50,4,86.80555556,13.19444444
50,5,84.02777778,15.97222222
50,6,84.72222222,15.27777778
50,7,92.36111111,7.638888889
50,8,86.80555556,13.19444444
50,9,88.19444444,11.80555556
50,10,91.66666667,8.333333333
100,1,87.5,12.5
100,2,88.88888889,11.11111111
100,3,77.77777778,22.22222222
100,4,87.5,12.5
100,5,81.94444444,18.05555556
100,6,84.72222222,15.27777778
100,7,91.66666667,8.333333333
100,8,90.27777778,9.722222222
100,9,86.11111111,13.88888889
100,10,86.11111111,13.88888889
200,1,83.33333333,16.66666667
200,2,86.11111111,13.88888889
200,3,77.77777778,22.22222222
200,4,88.88888889,11.11111111
200,5,94.44444444,5.555555556
200,6,86.11111111,13.88888889
200,7,94.44444444,5.555555556
200,8,91.66666667,8.333333333
200,9,91.66666667,8.333333333
200,10,91.66666667,8.333333333
400,1,88.88888889,11.11111111
400,2,94.44444444,5.555555556
400,3,94.44444444,5.555555556
400,4,94.44444444,5.555555556
400,5,100,0
400,6,100,0
400,7,100,0
400,8,100,0
400,9,100,0
400,10,100,0
800,1,100,0
800,2,100,0
800,3,88.88888889,11.11111111
800,4,100,0
800,5,100,0
800,6,100,0
800,7,100,0
800,8,100,0
800,9,100,0
800,10,100,0
