sample_size,group,sample_index
100,1,2
100,1,22
100,1,43
100,2,27
100,2,51
100,3,53
100,3,70
100,4,1
100,4,3
100,5,71
100,7,64
100,9,58
100,10,35
200,3,30
200,5,19
400,5,9
