sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_MWS_pred_LAM,true_MWS_pred_MWS
25,1,26.6006097561,19.7408536585,8.53658536585,45.1219512195
25,2,30.7926829268,15.5487804878,16.5396341463,37.118902439
25,3,34.2987804878,12.0426829268,12.6524390244,41.006097561
25,4,26.7530487805,19.5884146341,10.8993902439,42.7591463415
25,5,32.2408536585,14.1006097561,9.60365853659,44.0548780488
25,6,31.631097561,14.7103658537,10.3658536585,43.2926829268
25,7,32.8506097561,13.4908536585,8.38414634146,45.2743902439
25,8,31.5548780488,14.7865853659,9.375,44.2835365854
25,9,32.5457317073,13.7957317073,8.23170731707,45.4268292683
25,10,27.5152439024,18.8262195122,6.93597560976,46.7225609756
50,1,30.9451219512,15.3963414634,7.01219512195,46.6463414634
50,2,35.8231707317,10.5182926829,14.6341463415,39.0243902439
50,3,37.9573170732,8.38414634146,12.3475609756,41.3109756098
50,4,30.6402439024,15.7012195122,8.07926829268,45.5792682927
50,5,38.1097560976,8.23170731707,8.07926829268,45.5792682927
50,6,35.2134146341,11.1280487805,9.90853658537,43.75
50,7,36.5853658537,9.75609756098,7.92682926829,45.7317073171
50,8,34.756097561,11.5853658537,8.07926829268,45.5792682927
50,9,35.8231707317,10.5182926829,9.14634146341,44.512195122
50,10,32.1646341463,14.1768292683,6.70731707317,46.9512195122
100,1,35.6707317073,10.6707317073,6.09756097561,47.5609756098
100,2,40.8536585366,5.48780487805,11.5853658537,42.0731707317
100,3,39.6341463415,6.70731707317,11.5853658537,42.0731707317
100,4,35.9756097561,10.3658536585,6.70731707317,46.9512195122
100,5,37.8048780488,8.53658536585,5.79268292683,47.8658536585
100,6,39.0243902439,7.31707317073,9.14634146341,44.512195122
100,7,38.7195121951,7.62195121951,7.62195121951,46.0365853659
100,8,37.5,8.84146341463,5.48780487805,48.1707317073
100,9,40.243902439,6.09756097561,5.48780487805,48.1707317073
100,10,36.2804878049,10.0609756098,5.18292682927,48.4756097561
200,1,38.4146341463,7.92682926829,3.65853658537,50.0
200,2,41.4634146341,4.87804878049,7.31707317073,46.3414634146
200,3,43.2926829268,3.0487804878,9.14634146341,44.512195122
200,4,38.4146341463,7.92682926829,3.65853658537,50.0
200,5,43.2926829268,3.0487804878,2.43902439024,51.2195121951
200,6,40.8536585366,5.48780487805,5.48780487805,48.1707317073
200,7,42.6829268293,3.65853658537,3.65853658537,50.0
200,8,37.8048780488,8.53658536585,4.26829268293,49.3902439024
200,9,41.4634146341,4.87804878049,6.09756097561,47.5609756098
200,10,37.1951219512,9.14634146341,4.26829268293,49.3902439024
400,1,39.0243902439,7.31707317073,2.43902439024,51.2195121951
400,2,46.3414634146,0.0,4.87804878049,48.7804878049
400,3,43.9024390244,2.43902439024,2.43902439024,51.2195121951
400,4,40.243902439,6.09756097561,3.65853658537,50.0
400,5,46.3414634146,0.0,0.0,53.6585365854
400,6,46.3414634146,0.0,4.87804878049,48.7804878049
400,7,46.3414634146,0.0,2.43902439024,51.2195121951
400,8,42.6829268293,3.65853658537,0.0,53.6585365854
400,9,45.1219512195,1.21951219512,2.43902439024,51.2195121951
400,10,42.6829268293,3.65853658537,0.0,53.6585365854
