sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_LAM_pred_PBS,true_MWS_pred_LAM,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_LAM,true_PBS_pred_MWS,true_PBS_pred_PBS
25,1,13.3333333333,9.6,10.4,4.4,23.2,5.73333333333,6.4,6.53333333333,20.4
25,2,16.0,8.26666666667,9.06666666667,4.8,24.4,4.13333333333,8.53333333333,6.13333333333,18.6666666667
25,3,16.8,9.86666666667,6.66666666667,5.6,20.2666666667,7.46666666667,7.73333333333,6.4,19.2
25,4,21.3333333333,6.13333333333,5.86666666667,7.06666666667,20.5333333333,5.73333333333,7.6,5.06666666667,20.6666666667
25,5,22.6666666667,4.8,5.86666666667,7.2,20.2666666667,5.86666666667,9.06666666667,9.6,14.6666666667
25,6,19.2,6.26666666667,7.86666666667,6.93333333333,22.2666666667,4.13333333333,6.26666666667,6.66666666667,20.4
25,7,19.2771084337,6.96117804552,7.09504685408,7.89825970549,17.4029451138,8.03212851406,7.76439089692,5.08701472557,20.4819277108
25,8,16.8674698795,8.56760374833,7.89825970549,10.4417670683,15.2610441767,7.63052208835,8.03212851406,5.3547523427,19.9464524766
25,9,15.6626506024,8.83534136546,8.83534136546,9.77242302544,16.4658634538,7.09504685408,7.49665327979,4.5515394913,21.2851405622
25,10,15.796519411,7.36278447122,10.1740294511,7.49665327979,19.2771084337,6.55957161981,9.5046854083,3.88219544846,19.9464524766
50,1,14.4,9.6,9.33333333333,4.26666666667,25.3333333333,3.73333333333,5.6,4.8,22.9333333333
50,2,17.0666666667,7.46666666667,8.8,4.26666666667,27.2,1.86666666667,8.26666666667,4.53333333333,20.5333333333
50,3,20.2666666667,8.0,5.06666666667,5.86666666667,20.0,7.46666666667,6.4,4.8,22.1333333333
50,4,24.0,5.06666666667,4.26666666667,5.33333333333,22.9333333333,5.06666666667,7.2,4.0,22.1333333333
50,5,23.2,4.53333333333,5.6,6.66666666667,22.1333333333,4.53333333333,7.46666666667,8.0,17.8666666667
50,6,22.4,4.8,6.13333333333,6.66666666667,24.5333333333,2.13333333333,5.86666666667,7.73333333333,19.7333333333
50,7,23.7333333333,4.8,4.8,6.4,19.7333333333,7.2,6.4,5.06666666667,21.8666666667
50,8,18.6666666667,6.66666666667,8.0,7.46666666667,19.7333333333,6.13333333333,5.06666666667,4.0,24.2666666667
50,9,17.7419354839,8.87096774194,6.72043010753,6.18279569892,20.9677419355,6.18279569892,5.91397849462,3.49462365591,23.9247311828
50,10,22.311827957,3.76344086022,7.25806451613,6.18279569892,23.3870967742,3.76344086022,8.06451612903,2.41935483871,22.8494623656
100,1,16.9312169312,6.87830687831,9.52380952381,3.7037037037,25.9259259259,3.7037037037,5.82010582011,2.6455026455,24.8677248677
100,2,23.8095238095,4.2328042328,5.29100529101,3.1746031746,28.0423280423,2.1164021164,6.87830687831,3.7037037037,22.7513227513
100,3,23.2804232804,7.40740740741,2.6455026455,7.40740740741,20.1058201058,5.82010582011,6.34920634921,3.7037037037,23.2804232804
100,4,26.9841269841,3.1746031746,3.1746031746,3.7037037037,24.8677248677,4.7619047619,6.87830687831,5.82010582011,20.6349206349
100,5,26.8817204301,3.22580645161,3.22580645161,4.30107526882,25.8064516129,3.22580645161,6.45161290323,5.91397849462,20.9677419355
100,6,25.8064516129,3.76344086022,3.76344086022,4.83870967742,26.8817204301,1.61290322581,6.45161290323,6.45161290323,20.4301075269
100,7,27.9569892473,1.61290322581,3.76344086022,6.98924731183,19.8924731183,6.45161290323,5.91397849462,4.83870967742,22.5806451613
100,8,23.1182795699,3.22580645161,6.98924731183,8.06451612903,18.8172043011,6.45161290323,3.76344086022,3.76344086022,25.8064516129
100,9,22.0430107527,6.98924731183,4.30107526882,6.98924731183,20.4301075269,5.91397849462,3.22580645161,3.76344086022,26.3440860215
100,10,24.7311827957,3.22580645161,5.37634408602,6.45161290323,25.8064516129,1.0752688172,5.91397849462,3.76344086022,23.6559139785
200,1,22.9166666667,3.125,7.29166666667,3.125,28.125,2.08333333333,4.16666666667,1.04166666667,28.125
200,2,28.125,0.0,5.20833333333,1.04166666667,32.2916666667,0.0,2.08333333333,7.29166666667,23.9583333333
200,3,23.6559139785,6.45161290323,3.22580645161,5.37634408602,23.6559139785,4.30107526882,4.30107526882,2.15053763441,26.8817204301
200,4,26.8817204301,1.0752688172,5.37634408602,1.0752688172,31.1827956989,1.0752688172,3.22580645161,2.15053763441,27.9569892473
200,5,30.1075268817,0.0,3.22580645161,2.15053763441,30.1075268817,1.0752688172,7.52688172043,5.37634408602,20.4301075269
200,6,31.1827956989,1.0752688172,1.0752688172,2.15053763441,30.1075268817,1.0752688172,6.45161290323,3.22580645161,23.6559139785
200,7,26.8817204301,3.22580645161,3.22580645161,10.752688172,18.2795698925,4.30107526882,4.30107526882,1.0752688172,27.9569892473
200,8,26.8817204301,3.22580645161,3.22580645161,8.60215053763,22.5806451613,2.15053763441,4.30107526882,1.0752688172,27.9569892473
200,9,22.5806451613,8.60215053763,2.15053763441,10.752688172,19.3548387097,3.22580645161,0.0,1.0752688172,32.2580645161
200,10,23.6559139785,4.30107526882,5.37634408602,4.30107526882,29.0322580645,0.0,3.22580645161,2.15053763441,27.9569892473
