sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_MWS_pred_LAM,true_MWS_pred_MWS
25,1,31.25,18.75,7.89473684211,42.1052631579
25,2,37.8289473684,12.1710526316,15.8717105263,34.1282894737
25,3,36.5131578947,13.4868421053,17.0230263158,32.9769736842
25,4,31.8256578947,18.1743421053,19.8190789474,30.1809210526
25,5,40.0493421053,9.95065789474,10.6907894737,39.3092105263
25,6,40.3782894737,9.62171052632,11.0197368421,38.9802631579
25,7,38.0756578947,11.9243421053,11.1019736842,38.8980263158
25,8,39.8848684211,10.1151315789,10.9375,39.0625
25,9,39.0625,10.9375,12.0065789474,37.9934210526
25,10,30.8388157895,19.1611842105,8.30592105263,41.6940789474
50,1,33.5526315789,16.4473684211,5.59210526316,44.4078947368
50,2,40.625,9.375,13.1578947368,36.8421052632
50,3,38.9802631579,11.0197368421,13.3223684211,36.6776315789
50,4,35.5263157895,14.4736842105,16.1184210526,33.8815789474
50,5,43.4210526316,6.57894736842,8.05921052632,41.9407894737
50,6,43.4210526316,6.57894736842,8.38815789474,41.6118421053
50,7,40.625,9.375,7.89473684211,42.1052631579
50,8,42.7631578947,7.23684210526,8.22368421053,41.7763157895
50,9,41.4473684211,8.55263157895,7.89473684211,42.1052631579
50,10,31.9078947368,18.0921052632,5.92105263158,44.0789473684
100,1,37.1710526316,12.8289473684,3.28947368421,46.7105263158
100,2,44.0789473684,5.92105263158,11.8421052632,38.1578947368
100,3,41.1184210526,8.88157894737,9.21052631579,40.7894736842
100,4,39.1447368421,10.8552631579,14.8026315789,35.1973684211
100,5,46.3815789474,3.61842105263,5.26315789474,44.7368421053
100,6,46.7105263158,3.28947368421,4.93421052632,45.0657894737
100,7,43.0921052632,6.90789473684,6.57894736842,43.4210526316
100,8,47.0394736842,2.96052631579,5.26315789474,44.7368421053
100,9,45.3947368421,4.60526315789,4.93421052632,45.0657894737
100,10,39.1447368421,10.8552631579,3.28947368421,46.7105263158
200,1,40.7894736842,9.21052631579,3.28947368421,46.7105263158
200,2,44.7368421053,5.26315789474,7.89473684211,42.1052631579
200,3,45.3947368421,4.60526315789,8.55263157895,41.4473684211
200,4,42.1052631579,7.89473684211,8.55263157895,41.4473684211
200,5,48.0263157895,1.97368421053,3.94736842105,46.0526315789
200,6,48.0263157895,1.97368421053,3.94736842105,46.0526315789
200,7,45.3947368421,4.60526315789,4.60526315789,45.3947368421
200,8,46.0526315789,3.94736842105,4.60526315789,45.3947368421
200,9,46.0526315789,3.94736842105,3.94736842105,46.0526315789
200,10,39.4736842105,10.5263157895,3.94736842105,46.0526315789
400,1,36.8421052632,13.1578947368,0.0,50.0
400,2,48.6842105263,1.31578947368,2.63157894737,47.3684210526
400,3,48.6842105263,1.31578947368,2.63157894737,47.3684210526
400,4,46.0526315789,3.94736842105,9.21052631579,40.7894736842
400,5,50.0,0.0,1.31578947368,48.6842105263
400,6,48.6842105263,1.31578947368,0.0,50.0
400,7,47.3684210526,2.63157894737,5.26315789474,44.7368421053
400,8,50.0,0.0,1.31578947368,48.6842105263
400,9,47.3684210526,2.63157894737,2.63157894737,47.3684210526
400,10,44.7368421053,5.26315789474,1.31578947368,48.6842105263
