sample_size,fold,true_MWS_pred_MWS,true_MWS_pred_PBS,true_PBS_pred_MWS,true_PBS_pred_PBS
25,1,69.1823899371,4.61215932914,16.8763102725,9.32914046122
25,2,65.7232704403,8.071278826,15.9329140461,10.2725366876
25,3,65.3039832285,8.49056603774,14.6750524109,11.5303983229
25,4,66.7714884696,7.02306079665,14.2557651992,11.9496855346
25,5,68.0293501048,5.76519916143,15.8280922432,10.3773584906
25,6,69.8113207547,3.98322851153,16.3522012579,9.85324947589
25,7,69.2549842602,4.61699895068,13.536201469,12.59181532
25,8,68.4155299056,5.45645330535,12.906610703,13.221406086
25,9,69.8845750262,3.98740818468,10.8079748164,15.3200419727
25,10,67.4711437566,6.40083945435,12.59181532,13.536201469
50,1,67.9245283019,5.87002096436,13.4171907757,12.7882599581
50,2,64.9895178197,8.80503144654,12.3689727463,13.8364779874
50,3,64.570230608,9.22431865828,10.2725366876,15.9329140461
50,4,67.5052410901,6.2893081761,9.64360587002,16.5618448637
50,5,66.2473794549,7.54716981132,10.9014675052,15.3039832285
50,6,67.0859538784,6.70859538784,9.43396226415,16.7714884696
50,7,70.2306079665,3.56394129979,9.01467505241,17.1907756813
50,8,67.5052410901,6.2893081761,7.54716981132,18.6582809224
50,9,67.4369747899,6.51260504202,6.09243697479,19.9579831933
50,10,64.2857142857,9.66386554622,7.35294117647,18.6974789916
100,1,67.3640167364,6.27615062762,9.62343096234,16.7364016736
100,2,64.8535564854,8.78661087866,10.8786610879,15.4811715481
100,3,64.4351464435,9.2050209205,5.02092050209,21.3389121339
100,4,68.2008368201,5.43933054393,7.53138075314,18.8284518828
100,5,65.1260504202,8.82352941176,7.98319327731,18.0672268908
100,6,67.6470588235,6.3025210084,10.0840336134,15.9663865546
100,7,69.7478991597,4.20168067227,5.88235294118,20.1680672269
100,8,68.487394958,5.46218487395,4.6218487395,21.4285714286
100,9,67.2268907563,6.72268907563,2.52100840336,23.5294117647
100,10,63.4453781513,10.5042016807,4.20168067227,21.8487394958
200,1,71.6666666667,1.66666666667,5.83333333333,20.8333333333
200,2,69.1666666667,4.16666666667,8.33333333333,18.3333333333
200,3,68.0672268908,5.88235294118,0.840336134454,25.2100840336
200,4,70.5882352941,3.36134453782,4.20168067227,21.8487394958
200,5,68.9075630252,5.04201680672,5.88235294118,20.1680672269
200,6,72.268907563,1.68067226891,10.0840336134,15.9663865546
200,7,69.7478991597,4.20168067227,5.04201680672,21.0084033613
200,8,70.5882352941,3.36134453782,1.68067226891,24.3697478992
200,9,70.5882352941,3.36134453782,0.0,26.0504201681
200,10,68.9075630252,5.04201680672,1.68067226891,24.3697478992
400,1,73.3333333333,0.0,8.33333333333,18.3333333333
400,2,73.3333333333,0.0,6.66666666667,20.0
400,3,71.6666666667,1.66666666667,1.66666666667,25.0
400,4,71.6666666667,1.66666666667,0.0,26.6666666667
400,5,71.6666666667,1.66666666667,0.0,26.6666666667
400,6,71.6666666667,1.66666666667,5.0,21.6666666667
400,7,72.8813559322,1.69491525424,0.0,25.4237288136
400,8,74.5762711864,0.0,0.0,25.4237288136
400,9,72.8813559322,1.69491525424,0.0,25.4237288136
400,10,72.8813559322,1.69491525424,0.0,25.4237288136
